Year	Subject	Bacteria_0	Bacteria_1	Bacteria_2	Bacteria_3	Bacteria_4
1950	0	0.023858412319473887	1.0614128818529558	0.9089506980740338	0.3041136205400195	0.20421158526601318
1951	0	0.11245020240201231	2.186490717382048	0.04962886618269195	1.4042995226378383	1.10841965344327
1952	0	0.7738875358068089	0.3916336632677049	4.384617203084103	0.9795986783300109	0.7466905876824127
1953	0	1.0979985603079196	0.6030633634690836	2.3956184097289137	1.289506960301846	1.5612832023547858
1954	0	2.6333034637541597	0.9172411018832425	1.3457424084294718	4.274552369002633	2.32857454315145
1955	0	1.8173739795391375	3.508006932087894	4.920205638645572	0.0027682513244181558	0.27369892025804216
1956	0	0.0035011122887623797	5.183854215919122	1.5136762229555363	8.464515426179448	1.4329652187739128
1957	0	8.281041148983356	9.264735085442393	6.515067162202655	11.659459364074552	8.4942535621345
1958	0	11.775163743196831	2.885625840051659	6.9140971107467655	0.7524002934631965	3.737460511659109
1959	0	22.035508782281152	1.2387716176270742	1.3983674810615592	5.128154527400877	12.148226245942494
1950	1	0.42036982301078774	0.43251374309890955	0.022393174904001334	0.034580684471971324	0.36117735985901783
1951	1	0.481794539877609	0.3812247363906864	0.018312099384760753	0.053939538001387434	1.0252009369957515
1952	1	2.1641093328276337	0.564407362853819	0.005170748613609274	0.32064548941196064	1.6892503620970918
1953	1	7.331042729547821	2.4010054879383778	0.8905163247131508	0.02895858702600658	0.7825647301911792
1954	1	1.342928256153292	2.7731740305672767	3.7707064841318094	0.7365473464762443	2.5275057647988226
1955	1	0.2928758308089267	2.7403958363564094	0.3334193263112253	1.3772779761559109	2.90857957305699
1956	1	2.778672008623224	2.0965788777070498	16.467505805866534	1.4108389519658562	3.1885902262960553
1957	1	16.094349574976267	2.985277525829523	0.8678571857045788	2.4226627668740814	0.02639511469231739
1958	1	0.9068158127027748	11.582136719508547	15.477392780901242	0.23695569310008038	8.630103577025654
1959	1	8.157341802692924	2.403276775135878	12.857886730424251	2.711447883085784	4.524329207720862
1950	2	0.8864697299072338	2.023427851528646	1.5466547987978796	2.741640727950025	2.0714142670862956
1951	2	1.7984266777131823	0.04652937849453836	1.5098556086923585	1.364446353017296	0.03198971877506125
1952	2	2.8026398791969074	1.487341993481877	2.117390392588278	2.138240880535148	1.9414658296241745
1953	2	2.8459633275681573	3.5818934216924556	3.5306186964167114	0.1671111167360086	0.3664023895243947
1954	2	1.0518062885824022	5.231510213313803	0.5250443089909057	5.353027952969086	1.7942245062358406
1955	2	3.881548328746795	0.10541262966856446	1.9692596100386701	2.692004827695033	0.05941913023632048
1956	2	9.95382166686399	0.6525461150470095	5.954559573304031	10.121968493298109	2.338430810682947
1957	2	5.212885191680758	17.3753480254597	3.876551660406544	10.925699791026942	0.17243629846814362
1958	2	5.429543293137807	6.744183162569025	9.47596015330385	0.43704133820787006	3.09172256373885
1959	2	14.157315647331117	25.740618659814217	6.673706930264758	11.27948697911467	2.244043188680226
1950	3	2.9791480785819986	0.41828482393995087	0.37125569557146576	0.0010905016763542198	0.9339287548013535
1951	3	0.23072815367373029	2.4366662347912715	0.09703263258530351	0.0027651960860449946	0.2797814343726709
1952	3	1.0182777891561057	0.6622523222012858	0.25202072975260376	0.018186148713596112	0.4615319693909079
1953	3	2.385714695095979	0.1638861679323577	3.9829137170859923	0.49500885995813804	3.5862022776187024
1954	3	1.9107047116860423	3.5809155136998445	0.43366094156439994	0.3405169518512553	0.17929092519723452
1955	3	2.9221349871676336	0.21379430964986823	1.929535279648018	0.06476455175568342	1.0236551665142877
1956	3	20.28909564383976	5.360380773884978	1.125894267879433	0.011544558204284515	12.234589447669697
1957	3	16.950391524152852	4.713627349870677	7.639688309641926	0.23367777526705416	0.4387072354580226
1958	3	20.872525437021004	2.4970924364457776	0.15445124458815968	0.7357534834384004	5.257959132646069
1959	3	23.47534101640218	5.088981928418305	6.6373666105118385	1.4243710979555062	2.0274746178901935
1950	4	0.6020699744534774	0.16484596223267753	0.020730964730175258	1.3264680874724117	0.024497149135718137
1951	4	1.1371798040037542	3.4562416634116317	0.0004654968679969593	2.190549532436366	0.02796198127779278
1952	4	0.46591083779635245	2.666632387028872	0.05972821739956052	10.739105549243218	0.1691329875774816
1953	4	3.6602212043982894	1.6468941040396914	0.16506555657729013	8.690455452977874	0.038923535960699605
